handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_0bf2989f-1441-47bf-a566-b544ad631cdf,Product,Petit Pearl Bracelet,<p>Grace your wrist with this collection of petit cultured pearls nestled in Sterling Silver flowers. Also available in 14K Yellow or White Gold.</p>,cf69e4_33ed409d10594f17b2eb240ddb6800fc~mv2.jpg;cf69e4_a106452958f64fc1936305411bba2568~mv2.jpg,Bracelets,,,289.0,,true,PERCENT,0.0,InStock,0.0,Material,DROP_DOWN,Sterling Silver;14k Yellow Gold;14k White Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0bf2989f-1441-47bf-a566-b544ad631cdf,Variant,,,,,00142,,,0.0,true,,,InStock,,,,Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0bf2989f-1441-47bf-a566-b544ad631cdf,Variant,,,,,0014,,,910.0,true,,,InStock,,,,14k Yellow Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0bf2989f-1441-47bf-a566-b544ad631cdf,Variant,,,,,00141,,,910.0,true,,,InStock,,,,14k White Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d6904ba8-1305-4186-7388-4393157f1370,Product,Petit Pearl Ring,"<p>Three cultured pearls nestle in Sterling Silver flowers. This adjustible ring makes a great gift, fits small medium and large fingers. Also available in 14K Yellow or White Gold.</p>",cf69e4_c63bcfe566db4e0bad2fd1713d1fdd1d~mv2.jpg;cf69e4_da232e28b7a8466f8b17c0b7df95ecdf~mv2.jpg;cf69e4_c01341933dcb45908df88b379d54406b~mv2.jpg,Rings,,,139.0,,true,PERCENT,0.0,InStock,0.0,Material,DROP_DOWN,14k White Gold;14k Yellow Gold;Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d6904ba8-1305-4186-7388-4393157f1370,Variant,,,,,00151,,,150.0,true,,,InStock,,,,14k White Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d6904ba8-1305-4186-7388-4393157f1370,Variant,,,,,0015,,,150.0,true,,,InStock,,,,14k Yellow Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d6904ba8-1305-4186-7388-4393157f1370,Variant,,,,,00152,,,0.0,true,,,InStock,,,,Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_68a87ee4-6d92-25b3-0c60-5ae36876680d,Product,Cosmic Garden Ring,"<p>Find your inner peaceful place contemplating the cosmic garden. Smooth comfortable inner shank. 14k Yellow Gold with raised design. Sz 5 1/2 in stock, other sizes can be ordered. Also available is Sterling Silver and 14K White Gold.</p>",cf69e4_c634df06fb974464917005a0714fd23a~mv2.jpg;cf69e4_75d7431b81bb48ca9933275b226bd1fb~mv2.jpg;cf69e4_dcb6f9a529854847a85f0f2c9ab19136~mv2.jpg,Rings,0001,,499.0,,true,PERCENT,0.0,InStock,0.0,Material,DROP_DOWN,14k White Gold;14k Yellow Gold;Sterling Silver,,,,,,,,,,,,,,,,RETURN AND REFUND POLICY,"<p>Refunds issued for pieces returned in origional condition within 30 days.</p>
",,,,,,,,,,,,,,,,
product_68a87ee4-6d92-25b3-0c60-5ae36876680d,Variant,,,,,00011,,,0.0,true,,,InStock,,,,14k White Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
